image_path,split,horse_id,face_region,face_region_code,pain_score,pain_label,binary_pain_label,source_filename,source_file_id,source_sha256,exported_sha256,perceptual_hash,width,height,mode
data/raw/train_raw/00000_94683244-ff4_M1_A0__1_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (1).jpg,94683244-ff4d-405f-920b-057e994c2d73,6a70c59eb6104ba3b3dd6b5db3ec5a37a4161a9a064cd9480efc32367b04dcef,66edfe2b41d5ddba718ac96d866bbaee1e732a436d50e04c147a5fd740d437f3,f6f6d495c9ccd080,125,260,RGB
data/raw/train_raw/00001_41dd5aad-917_M1_A0__10_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (10).jpg,41dd5aad-917c-4ecd-a084-3e569666590a,f1ba7ebfba26a92c69b12938d1e2cb9b1cba10b42e3641a63a641f4c3399a3c6,1a792e35c57dc5a06428d3da469d2d25432bf051c7360bca4d87acc06410b6f0,be85dfc0e80785f0,196,163,RGB
data/raw/train_raw/00002_0c9504eb-c64_M1_A0__100_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (100).jpg,0c9504eb-c647-452b-b101-11f67ddb98d7,4db86c0eac8a8864f1fd77dea7dea58617b510a7743cb523248162da532a8a69,396a27b17f3543287ed99a24c0212471ed5c282442bd84ce12d098582cfe1270,fdcec0c59891d998,182,165,RGB
data/raw/train_raw/00004_d81bac9e-e98_M1_A0__102_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (102).jpg,d81bac9e-e982-4065-9a38-86c404b826a4,bf0fa7bcd45c75857644695da568136c40849046f77eaeed3b63b3afc4bae083,fcf6c9771d69e10181752da5e259ad2d825173dfdd29d40eef9efe1947ecc0df,aecfc21373718e44,194,237,RGB
data/raw/train_raw/00006_f313361a-c03_M1_A0__104_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (104).jpg,f313361a-c035-47e6-ad30-5b758201bded,7d5ff2252abcbdedad6917624a570da27a74da263643d1b6be7c47523ff774b6,7a23636063edaae8ff03ff8397cb1307368bec0277bb9bd20117b0d18c471826,a7c287f7a96c9809,167,237,RGB
data/raw/train_raw/00008_3104f0ea-3e9_M1_A0__106_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (106).jpg,3104f0ea-3e9a-4281-9483-0c8eff3b9ab0,f34cb002b8812100b1f20be4660cd8af70d437fa0d7360dd7f1d647cb64c17d6,d42cd3f125c8f03ee9b769be27d46579801a48559a570071fdd29915b725fc4b,a0b595d2da4bab85,181,238,RGB
data/raw/train_raw/00010_76b78e4e-ab9_M1_A0__108_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (108).jpg,76b78e4e-ab9c-4868-8b60-7f55d9d58cf6,d1d8af1f1766328b507a5073cff0864bb1a914af7855774ed9af40e78f2a035a,9b14c98ee4416f2ce125513252aafd3f2ccdeb3af483f3a78140dc321ec634fe,b8af813f7f608494,192,270,RGB
data/raw/train_raw/00013_5a3fb14e-1a0_M1_A0__110_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (110).jpg,5a3fb14e-1a00-4a5c-9c2e-cda85319fa03,1a65fb2e59d8aaf81773d028268ffb77974ab83ee6cd1c1ee7e15256a7a3c757,85a64b31e3982882a180c556426de465c959e334197ed31bfaf74a32bbb48c54,f989099098f8e6f6,182,262,RGB
data/raw/train_raw/00015_13735abe-aa8_M1_A0__112_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (112).jpg,13735abe-aa85-47fe-aee0-07c9eef6dc19,b776339f2f5960adade45765d5782bce5bbec0cc260a3b4c8eae4e4faa35bb8b,2f55d3fea653a2fd5ba8d8287a69627fa8c3b1fc62e98ff7bad1abf89bc29565,f0879fd3c3a83826,194,273,RGB
data/raw/train_raw/00017_46cb82a5-963_M1_A0__114_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (114).jpg,46cb82a5-9630-4417-a559-44aab7a89a51,f07bcd14116f0dd08a1b964967a24900dc593fbde2eb04866566e79d249e6837,9a2a4f9eadd5b6a883c131f1498ebd23a15ae75e4195dae88f1ca4ccdfd38758,f4de8487c73470f0,197,259,RGB
data/raw/train_raw/00019_8279d211-9c5_M1_A0__116_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (116).jpg,8279d211-9c52-4945-aee9-e6514acdbf6c,dcb9c0406ee3fab27b47bf0d539af601ed5eb446eb73e148bdc62a9985d2e459,3768bad3c60e80bc4cd5b5cb2c6cfa42db9eb56897cc13a43bcc7fc4bff87801,f8cf81c3c9696938,194,253,RGB
data/raw/train_raw/00021_ae792d8b-26c_M1_A0__118_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (118).jpg,ae792d8b-26cf-4261-9933-c50e1aa04aec,da41528c11d326bb3b4dda0199d941b324912fe7bb78536ad59faf449f567415,f1b531d34a072fb1829f0e14d25e83026b1ed2d967cf87bf75a6a0776508da8f,f0de88c7cf494961,205,262,RGB
data/raw/train_raw/00023_29decac5-b95_M1_A0__12_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (12).jpg,29decac5-b951-4c8a-b9c9-434f23710c55,cd4fb5aa1c7ecd0d2ace71baa0f71e4df8b32f87028df84a560129eb4e17376f,d31558bbb7fad7d1e30d991a663e21f94f9ed1865479f813f085b4c2ea2941e8,ba8aef00ea0ffaa0,181,156,RGB
data/raw/train_raw/00024_d74d4605-734_M1_A0__120_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (120).jpg,d74d4605-734f-4acf-a226-8dbae7f53749,18030eb6d7ab6d8d319caae2b7a1bad4839071642fd522a229587abe1f19f0fe,80e7c2860b10ea51c434002b2607fbae81628db74fd3d5b0436dd56bd639f2da,fc8fcfc0c06e7430,190,256,RGB
data/raw/train_raw/00026_5c380ae0-499_M1_A0__122_.jpg,train,M1,ears,A,0,not_present,no_pain,M1_A0 (122).jpg,5c380ae0-4995-4430-9339-6bbdb9cc5c0b,242f75fc754ae3e550bc608e0ada1fafbb1cd0e95335e237d090ddb94d14d174,b5c55c450d49a862887f02995e47ca26d2e2ba3acdfa21c3b5bf61a5b364ea95,b5cbc997c2c1c5c2,158,189,RGB
