image_path,split_original,horse_id,face_region,face_region_code,pain_score,pain_label,binary_pain_label,source_filename,source_file_id,source_sha256,width,height,mode,is_valid,corruption_error,exported_sha256
data/raw/train_raw/01429_508345e4-bb5_M1_C0__35_.jpg,train_raw,M1,mouth_nostrils,C,0,not_present,no_pain,M1_C0 (35).jpg,508345e4-bb5e-4003-a0e0-ef8b3ea67a79,d79512d4f0fa199e7920784d8a3b8be2c2fe36aca32d0991e313a0905f5c0afe,183,184,RGB,True,,002eb5f676769b6491847a5f92f5c2396ba55e7740bc7738511b9e6fa6a23e81
data/raw/train_raw/01430_be472cc3-0fe_M1_C0__36_.jpg,train_raw,M1,mouth_nostrils,C,0,not_present,no_pain,M1_C0 (36).jpg,be472cc3-0fed-4eeb-8576-ce2044ba211b,d79512d4f0fa199e7920784d8a3b8be2c2fe36aca32d0991e313a0905f5c0afe,183,184,RGB,True,,002eb5f676769b6491847a5f92f5c2396ba55e7740bc7738511b9e6fa6a23e81
data/raw/train_raw/01632_1cafbb89-9b4_M1_C1__52_.jpg,train_raw,M1,mouth_nostrils,C,1,moderately_present,pain,M1_C1 (52).jpg,1cafbb89-9b40-404d-81f9-a18cb80e3bc9,792061bae9e57308e0e05041d92406ca6f3aab9651e25762946fbfdfcacf574f,125,117,RGB,True,,0054ce5a1b85bc623ed45cfed4c170e7e0a4be46c9b4c054c6df990250dd4278
data/raw/train_raw/01633_e5979ee4-d93_M1_C1__53_.jpg,train_raw,M1,mouth_nostrils,C,1,moderately_present,pain,M1_C1 (53).jpg,e5979ee4-d932-42de-9bff-4b74dbe0a9d5,792061bae9e57308e0e05041d92406ca6f3aab9651e25762946fbfdfcacf574f,125,117,RGB,True,,0054ce5a1b85bc623ed45cfed4c170e7e0a4be46c9b4c054c6df990250dd4278
data/raw/train_raw/01619_837dd8eb-a4c_M1_C1__40_.jpg,train_raw,M1,mouth_nostrils,C,1,moderately_present,pain,M1_C1 (40).jpg,837dd8eb-a4c4-4151-9b81-eb4f09d79678,075765d436af4cd16b9fc10d2212a67708136a8fea25bdd3d74f608f3f20472a,148,136,RGB,True,,006fb3c49cfed71ad1fc99b402d226bf9f5de0288b75c2b39358045da527f984
data/raw/train_raw/01620_1dad9321-bfe_M1_C1__41_.jpg,train_raw,M1,mouth_nostrils,C,1,moderately_present,pain,M1_C1 (41).jpg,1dad9321-bfee-4598-a8da-e884db646b2e,075765d436af4cd16b9fc10d2212a67708136a8fea25bdd3d74f608f3f20472a,148,136,RGB,True,,006fb3c49cfed71ad1fc99b402d226bf9f5de0288b75c2b39358045da527f984
data/raw/train_raw/01811_2712155a-2ea_M2_A0__170_.jpg,train_raw,M2,ears,A,0,not_present,no_pain,M2_A0 (170).jpg,2712155a-2eab-4bfa-bcfb-c085466c35d9,5f281ba182edf6808cf00c51bcf02aeb1ff6da0f0febfbadf4f26a95c5ef7e20,198,317,RGB,True,,00b195bbe373ea11e8bcbe330926a2bea24658edc0aaafdb974ff97b575223a9
data/raw/train_raw/01812_da696e2d-b25_M2_A0__171_.jpg,train_raw,M2,ears,A,0,not_present,no_pain,M2_A0 (171).jpg,da696e2d-b258-4acd-8259-28d50e5afbfe,5f281ba182edf6808cf00c51bcf02aeb1ff6da0f0febfbadf4f26a95c5ef7e20,198,317,RGB,True,,00b195bbe373ea11e8bcbe330926a2bea24658edc0aaafdb974ff97b575223a9
data/raw/train_raw/01713_26c2c8ff-cf7_M1_C2__36_.jpg,train_raw,M1,mouth_nostrils,C,2,obviously_present,pain,M1_C2 (36).jpg,26c2c8ff-cf79-4350-a2fa-8a97cc37fc8d,460721d636ba2641a84ab300b17ac66c50640ee008a314018279a9085397353c,130,166,RGB,True,,0103a7d68010f03609cf82b605971fcba7a4121998a61bdf7e3d5e7f542d95c8
data/raw/train_raw/01714_b2f6f82a-a4e_M1_C2__37_.jpg,train_raw,M1,mouth_nostrils,C,2,obviously_present,pain,M1_C2 (37).jpg,b2f6f82a-a4e8-4877-a28c-ac885728b9c4,460721d636ba2641a84ab300b17ac66c50640ee008a314018279a9085397353c,130,166,RGB,True,,0103a7d68010f03609cf82b605971fcba7a4121998a61bdf7e3d5e7f542d95c8
data/raw/train_raw/01789_f8668b5b-4f5_M2_A0__150_.jpg,train_raw,M2,ears,A,0,not_present,no_pain,M2_A0 (150).jpg,f8668b5b-4f5b-402c-9756-52384ef70142,1db4d7af091e9a0336bbc028fec6d2fe3679028d538ad80484446241ce084c22,161,308,RGB,True,,01a63974b3c11e1923c8d0433df357fcf077bc4768bd16ef65f3b582fb8e9c18
data/raw/train_raw/01790_eaf639cd-b7e_M2_A0__151_.jpg,train_raw,M2,ears,A,0,not_present,no_pain,M2_A0 (151).jpg,eaf639cd-b7e2-4888-8914-be25cbb7bd86,1db4d7af091e9a0336bbc028fec6d2fe3679028d538ad80484446241ce084c22,161,308,RGB,True,,01a63974b3c11e1923c8d0433df357fcf077bc4768bd16ef65f3b582fb8e9c18
data/raw/train_raw/02038_154d8b8e-d86_M2_A2__4_.jpg,train_raw,M2,ears,A,2,obviously_present,pain,M2_A2 (4).jpg,154d8b8e-d861-44b8-9a45-d81f74e71ddc,0352eba90decb064f99dc3f66bfadce7001f60369e14efe98333610cb2685b56,187,319,RGB,True,,0215dda1ee503b908b24fbabd759a0abff688377a0c658ce99511838752b0218
