filter_index,mean_weight,weight_standard_deviation,minimum_weight,maximum_weight
0,0.0012856427,0.21782266,-0.5927148,0.77018493
1,-0.0048632794,0.11259165,-0.32283598,0.28538322
2,4.0346092e-07,1.0000315e-06,-1.4614394e-09,5.3737863e-06
3,-0.010831118,0.043391664,-0.16983871,0.073340364
4,0.00045299597,0.0002699559,2.5111634e-05,0.0013505818
5,0.00042827436,0.14825806,-0.33092383,0.41468123
6,0.0016930585,0.16656652,-0.5759703,0.35276973
7,1.9963642e-05,3.4579567e-05,-7.390511e-05,6.416968e-05
8,-0.0010807855,0.20196645,-0.6446388,0.7560095
9,-0.00017874164,0.0001807066,-0.00044106154,0.00023992345
10,0.0059416015,0.16218375,-0.32860032,0.5969673
11,0.0047227256,0.14778312,-0.32482874,0.5045139
12,-0.009196174,0.054978933,-0.1619855,0.06622749
13,6.5934335e-05,7.363421e-05,-0.00010516878,0.0002889947
14,0.0013986806,0.1315741,-0.24925369,0.2652644
15,0.0015573498,0.19009241,-0.5305343,0.58338124
16,0.006876004,0.07387686,-0.20912385,0.20287503
17,0.012250064,0.030141462,-0.053202346,0.075244
18,0.00915311,0.056709025,-0.058717698,0.27678797
19,-0.014796642,0.088044696,-0.23224686,0.11713674
20,-0.004807652,0.13020977,-0.4078613,0.37592578
21,0.014140019,0.04202919,-0.08773841,0.09107297
22,-0.009946953,0.09553645,-0.26350024,0.19727874
23,-0.0025240604,0.19550401,-0.5299066,0.6303135
24,-2.2436487e-05,0.22131538,-0.6810891,1.0046681
25,0.005875865,0.123524114,-0.28551197,0.30072108
26,-0.0013490956,0.13514674,-0.2717135,0.27547026
27,0.0018762074,0.08626143,-0.24545552,0.20339543
28,0.00038812638,0.13991901,-0.3744849,0.52204055
29,-0.006918831,0.07439756,-0.45684963,0.12767117
30,0.00078038924,0.158217,-0.53234386,0.65220106
31,0.0044212327,0.11876545,-0.2803532,0.3185371
32,0.0045286934,0.072284944,-0.16016127,0.27836323
33,0.003691938,0.14028,-0.30132505,0.45694628
34,0.010094097,0.062238976,-0.09830141,0.23387647
35,-0.010358664,0.068022475,-0.21754427,0.117618434
36,1.1801137e-05,2.7678017e-05,-3.9806524e-05,6.5242384e-05
37,0.0067503084,0.040963393,-0.045063283,0.24363296
38,0.0004331082,0.0001286193,0.0002236928,0.0008072131
39,0.001050945,0.2115336,-0.6165429,0.98380023
40,9.87211e-05,0.17876577,-0.6467028,0.6578533
41,0.0027872324,0.1855246,-0.6195196,0.7181113
42,-0.0045786323,0.18983173,-0.7316875,0.6256939
43,0.0045346273,0.14465505,-0.32653326,0.44948012
44,0.004493189,0.16443168,-0.31896788,0.5704101
45,-0.009685326,0.08663514,-0.2781217,0.16114059
46,0.007885479,0.03819482,-0.10356444,0.09116557
47,0.004141385,0.20463346,-0.61980015,1.016075
48,0.00031757233,0.00057908025,-0.00041544536,0.0014914385
49,-0.0017213846,0.16350386,-0.739215,0.44607514
50,-0.0005305211,0.18034303,-0.8434535,0.54070866
51,-0.0076848683,0.17719056,-0.83871406,0.4201384
52,0.0002874227,0.13428818,-0.46312526,0.37947464
53,0.003084902,0.20776388,-0.63064903,1.0011883
54,-0.010555975,0.027487038,-0.055243857,0.05575042
55,-0.003200527,0.20595519,-0.8401018,0.65715307
56,-0.0025189638,0.102926746,-0.34766707,0.24028212
57,0.007454904,0.09742142,-0.24888223,0.23579822
58,-0.011973671,0.05653076,-0.24043578,0.0774737
59,0.00015010599,0.17764622,-0.5672751,0.65943843
60,-0.007109161,0.16833486,-0.7542946,0.36490357
61,0.020886134,0.04058312,-0.08485789,0.12157466
62,-0.0121262865,0.040665057,-0.16117316,0.07280998
63,-0.0017227851,0.15390533,-0.60780156,0.40844342
