model,epoch,training_loss,validation_loss,validation_accuracy,validation_macro_f1
Transfer Learning,1,1.1185568486568032,0.7472664382722642,0.726984126984127,0.6063122676025902
Transfer Learning,2,0.9519894169033706,0.7011714011903794,0.7492063492063492,0.6408388649911223
Transfer Learning,3,0.8806938981880563,0.6607797191256568,0.7682539682539683,0.6690469395082688
Transfer Learning,4,0.8067815918323837,0.6403202885673159,0.7777777777777778,0.6845107794361526
Transfer Learning,5,0.7494600382783255,0.6285433284820072,0.7714285714285715,0.6783444008561257
Transfer Learning,6,0.6847146907456851,0.628626122928801,0.7714285714285715,0.6726146613212256
Transfer Learning,7,0.6163012072680671,0.6234726652266487,0.7746031746031746,0.6762622549019608
Transfer Learning,8,0.5758228752443099,0.5885753699711391,0.780952380952381,0.6975608834302688
Transfer Learning,9,0.5068464144192569,0.6126316910698301,0.7587301587301587,0.6664520600004472
Transfer Learning,10,0.450952702624444,0.6199899117151896,0.7873015873015873,0.7037039720345583
Transfer Learning,11,0.4297322190486844,0.6523852382387434,0.7523809523809524,0.6496953300643157
Transfer Learning,12,0.3943967223629292,0.6570181888247293,0.7714285714285715,0.6708834956257638
Transfer Learning,13,0.3498073290688545,0.6427455815057906,0.7777777777777778,0.689157542272213
Transfer Learning,14,0.3195403278312771,0.6302537081733582,0.7777777777777778,0.6909252799388376
Transfer Learning,15,0.2869108583184925,0.6672672275512938,0.7555555555555555,0.6466440276196374
Transfer Learning,16,0.2839021223349333,0.6431431119404142,0.7777777777777778,0.6876412680526752
Transfer Learning,17,0.2767430218279431,0.6508567038036528,0.7714285714285715,0.6829623432842834
Transfer Learning,18,0.2608563322999689,0.6935036148343767,0.7682539682539683,0.671718415844011
