model,epoch,training_loss,validation_loss,validation_accuracy,validation_macro_f1
Baseline CNN,1,1.0256862079667657,0.8201520227250598,0.6476190476190476,0.4570149714462108
Baseline CNN,2,0.9761131970700438,0.8185295139040266,0.653968253968254,0.4600970262238608
Baseline CNN,3,0.9832416036848596,0.8149877956935337,0.6761904761904762,0.4719598239015715
Baseline CNN,4,0.9574239637351968,0.8326460721000792,0.6412698412698413,0.466922171204722
Baseline CNN,5,0.9632702187390716,0.8479471755406213,0.6412698412698413,0.470363475910758
Baseline CNN,6,0.9507537349533176,0.7734074274698893,0.6571428571428571,0.4340135796860013
Baseline CNN,7,0.9337290379022822,0.7996517828532628,0.6444444444444445,0.4604389596188394
Baseline CNN,8,0.9294545185607516,0.9034302696349128,0.5682539682539682,0.4728037285840754
Baseline CNN,9,0.9172847852001168,0.8095774260778276,0.638095238095238,0.4464059425834084
Baseline CNN,10,0.9237109515751024,0.7657200752742707,0.6857142857142857,0.5163526183907409
Baseline CNN,11,0.9227041021330048,0.7603038893805609,0.6857142857142857,0.5077243098735394
Baseline CNN,12,0.9183909497903974,0.8559080097410414,0.6317460317460317,0.5060519614846225
Baseline CNN,13,0.9045525436852154,0.8018918960813493,0.6698412698412698,0.5453111129414564
Baseline CNN,14,0.9150279405180772,0.8962511418357728,0.580952380952381,0.49131951868905
Baseline CNN,15,0.9094795225341852,0.7859222957066128,0.6603174603174603,0.5204131442937413
Baseline CNN,16,0.8829010835639823,0.7502735406633407,0.6984126984126984,0.5264917974595394
Baseline CNN,17,0.8816468526069068,0.7725565840327551,0.6952380952380952,0.5404492211509755
Baseline CNN,18,0.875411748978483,0.7658538243127248,0.707936507936508,0.5697293077051037
Baseline CNN,19,0.8757703901722836,0.7448053946570744,0.7111111111111111,0.5675347852389595
Baseline CNN,20,0.8763902161251617,0.8370123261497134,0.6888888888888889,0.5261361584890997
Baseline CNN,21,0.8552613089547422,0.8377736577911983,0.6253968253968254,0.5154977806438961
Baseline CNN,22,0.8682971431136547,0.8463169186834305,0.6412698412698413,0.5082303783300293
Baseline CNN,23,0.8543232464365421,0.7857849442769611,0.7047619047619048,0.5708855472788731
Baseline CNN,24,0.8405211631155254,0.7641082267912608,0.707936507936508,0.5626569542151042
Baseline CNN,25,0.835895468171647,0.8147494520459856,0.638095238095238,0.4804892103147217
Baseline CNN,26,0.8362113185420327,0.7999193157468524,0.6412698412698413,0.4974087404761831
Baseline CNN,27,0.8308212656191457,0.7964696861448742,0.7206349206349206,0.5917074717212921
Baseline CNN,28,0.8150307702168343,0.8461037664186387,0.6317460317460317,0.4929123164417282
Baseline CNN,29,0.817108078041727,0.7869469513968815,0.726984126984127,0.5976688309753474
Augmented CNN,1,1.011576134190454,0.8305818099824209,0.6444444444444445,0.4239568530420961
Augmented CNN,2,0.991998018012034,0.9076989136044942,0.6444444444444445,0.4972744047932018
Augmented CNN,3,0.9890065229895132,0.8798476060231527,0.6253968253968254,0.4783034797374344
Augmented CNN,4,0.955212992090257,0.8198727516900925,0.6507936507936508,0.4318126660504746
Augmented CNN,5,0.948533838061296,0.8577305562912472,0.6444444444444445,0.4827503733269622
Augmented CNN,6,0.9445142473928784,1.0013552945757669,0.6222222222222222,0.5228831959341665
Augmented CNN,7,0.9575944686758108,0.8613717029965113,0.6571428571428571,0.5284484126332836
Augmented CNN,8,0.9454745427207032,0.9719861656900436,0.5619047619047619,0.4736757974561279
Augmented CNN,9,0.9243867015801672,0.8505473967582461,0.6476190476190476,0.514574826276954
Augmented CNN,10,0.9143331845293484,0.882613087835766,0.6571428571428571,0.5163887331653202
Augmented CNN,11,0.908810918389342,0.7985444776595585,0.7365079365079366,0.590238238961839
Augmented CNN,12,0.8957893002730661,0.783531723892878,0.6793650793650794,0.5303359899984373
Augmented CNN,13,0.8890786845293307,0.7946805299274505,0.6825396825396826,0.544214757393052
Augmented CNN,14,0.8995468793844632,0.7730977334673442,0.6857142857142857,0.4848659274098737
Augmented CNN,15,0.8916863855212661,0.8399654831205096,0.6285714285714286,0.5050817765681058
Augmented CNN,16,0.9028812829767352,0.773872140854124,0.6857142857142857,0.5270514315639182
Augmented CNN,17,0.8778984827017978,0.8124868578381008,0.6571428571428571,0.50459192298257
Augmented CNN,18,0.8814958841566982,0.8311355819777837,0.6634920634920635,0.5297052154195011
Augmented CNN,19,0.8608773574030986,0.7626901694706508,0.7206349206349206,0.5850250683119022
Augmented CNN,20,0.8470763536859325,0.7746601403705657,0.7238095238095238,0.6015171540944737
Augmented CNN,21,0.861382330701777,0.7692075941297744,0.6984126984126984,0.5362918540729634
Augmented CNN,22,0.8679756488461958,0.7424110516669258,0.7047619047619048,0.5504671936540886
Augmented CNN,23,0.8604710796737524,0.751517219013638,0.6984126984126984,0.5547641158506448
Augmented CNN,24,0.8524328845270565,0.7570148100928654,0.6888888888888889,0.5337679349965277
Augmented CNN,25,0.8558616386001214,0.7998321031767225,0.6984126984126984,0.5450484468046027
Augmented CNN,26,0.8436649994811362,0.793060673040057,0.6857142857142857,0.5370695970695971
Augmented CNN,27,0.834606267324209,0.7429355396164788,0.707936507936508,0.5713675371662921
Augmented CNN,28,0.8243578954151276,0.7702434252178858,0.6952380952380952,0.5559732191700743
Augmented CNN,29,0.8317892656267174,0.76250263641751,0.7111111111111111,0.5653173582436427
Augmented CNN,30,0.8253657127803077,0.7782236570403689,0.6793650793650794,0.5341619205821864
Augmented CNN,31,0.8099894219246635,0.7394843061765035,0.7047619047619048,0.569502990467223
Augmented CNN,32,0.8130232719015309,0.7572928256458706,0.6952380952380952,0.5385480516516722
Augmented CNN,33,0.8144102860494715,0.7524552320677137,0.6952380952380952,0.5546668066883701
Augmented CNN,34,0.8069398459285232,0.769306556951432,0.6984126984126984,0.5423120089786756
Augmented CNN,35,0.7995696565477666,0.7618550376286582,0.7396825396825397,0.6362921324299485
Augmented CNN,36,0.8044489707793435,0.7529173559612699,0.707936507936508,0.5778545584615222
Augmented CNN,37,0.8020262811498926,0.7557182156850422,0.7015873015873015,0.5546965449917679
Augmented CNN,38,0.7943934801935641,0.7523341534629701,0.7015873015873015,0.5629798417552653
Augmented CNN,39,0.793825744566461,0.7665467722075326,0.707936507936508,0.573609899800376
Augmented CNN,40,0.7860386972277722,0.7739320444682288,0.6888888888888889,0.5419963001451934
Augmented CNN,41,0.7993570272657401,0.766042393351358,0.6952380952380952,0.5459183673469388
Transfer Learning,1,1.1185568486568032,0.7472664382722642,0.726984126984127,0.6063122676025902
Transfer Learning,2,0.9519894169033706,0.7011714011903794,0.7492063492063492,0.6408388649911223
Transfer Learning,3,0.8806938981880563,0.6607797191256568,0.7682539682539683,0.6690469395082688
Transfer Learning,4,0.8067815918323837,0.6403202885673159,0.7777777777777778,0.6845107794361526
Transfer Learning,5,0.7494600382783255,0.6285433284820072,0.7714285714285715,0.6783444008561257
Transfer Learning,6,0.6847146907456851,0.628626122928801,0.7714285714285715,0.6726146613212256
Transfer Learning,7,0.6163012072680671,0.6234726652266487,0.7746031746031746,0.6762622549019608
Transfer Learning,8,0.5758228752443099,0.5885753699711391,0.780952380952381,0.6975608834302688
Transfer Learning,9,0.5068464144192569,0.6126316910698301,0.7587301587301587,0.6664520600004472
Transfer Learning,10,0.450952702624444,0.6199899117151896,0.7873015873015873,0.7037039720345583
Transfer Learning,11,0.4297322190486844,0.6523852382387434,0.7523809523809524,0.6496953300643157
Transfer Learning,12,0.3943967223629292,0.6570181888247293,0.7714285714285715,0.6708834956257638
Transfer Learning,13,0.3498073290688545,0.6427455815057906,0.7777777777777778,0.689157542272213
Transfer Learning,14,0.3195403278312771,0.6302537081733582,0.7777777777777778,0.6909252799388376
Transfer Learning,15,0.2869108583184925,0.6672672275512938,0.7555555555555555,0.6466440276196374
Transfer Learning,16,0.2839021223349333,0.6431431119404142,0.7777777777777778,0.6876412680526752
Transfer Learning,17,0.2767430218279431,0.6508567038036528,0.7714285714285715,0.6829623432842834
Transfer Learning,18,0.2608563322999689,0.6935036148343767,0.7682539682539683,0.671718415844011
